audit_method,bootstrap_ci95_high,bootstrap_ci95_low,ci95_high,ci95_low,deletion_method,failure_detection_rate,mean_risk_ucb,n,track
ADCU,1.0,1.0,1.0,1.0,bge retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
ExtractionAudit,0.0,0.0,0.0,0.0,bge retrieval with retained derivatives,0.0,0.581,3,DenseRAG
InfluenceProxy,1.0,1.0,1.0,1.0,bge retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
MembershipInference,1.0,1.0,1.0,1.0,bge retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
RetrieverHit,1.0,1.0,1.0,1.0,bge retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
ADCU,1.0,1.0,1.0,1.0,cross retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
ExtractionAudit,0.0,0.0,0.0,0.0,cross retrieval with retained derivatives,0.0,0.5416,3,DenseRAG
InfluenceProxy,1.0,1.0,1.0,1.0,cross retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
MembershipInference,1.0,1.0,1.0,1.0,cross retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
RetrieverHit,1.0,1.0,1.0,1.0,cross retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
ADCU,1.0,1.0,1.0,1.0,dense retrieval with retained derivatives,1.0,0.7849,3,DenseRAG
ExtractionAudit,0.0,0.0,0.0,0.0,dense retrieval with retained derivatives,0.0,0.5371,3,DenseRAG
InfluenceProxy,1.0,1.0,1.0,1.0,dense retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
MembershipInference,1.0,1.0,1.0,1.0,dense retrieval with retained derivatives,1.0,0.7849,3,DenseRAG
RetrieverHit,1.0,1.0,1.0,1.0,dense retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
ADCU,1.0,1.0,1.0,1.0,e5 retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
ExtractionAudit,0.0,0.0,0.0,0.0,e5 retrieval with retained derivatives,0.0,0.581,3,DenseRAG
InfluenceProxy,1.0,1.0,1.0,1.0,e5 retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
MembershipInference,1.0,1.0,1.0,1.0,e5 retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
RetrieverHit,1.0,1.0,1.0,1.0,e5 retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
ADCU,1.0,1.0,1.0,1.0,lexical retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
ExtractionAudit,0.0,0.0,0.0,0.0,lexical retrieval with retained derivatives,0.0,0.5595,3,DenseRAG
InfluenceProxy,1.0,1.0,1.0,1.0,lexical retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
MembershipInference,1.0,1.0,1.0,1.0,lexical retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
RetrieverHit,1.0,1.0,1.0,1.0,lexical retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
ADCU,1.0,1.0,1.0,1.0,neural retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
ExtractionAudit,0.0,0.0,0.0,0.0,neural retrieval with retained derivatives,0.0,0.581,3,DenseRAG
InfluenceProxy,1.0,1.0,1.0,1.0,neural retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
MembershipInference,1.0,1.0,1.0,1.0,neural retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
RetrieverHit,1.0,1.0,1.0,1.0,neural retrieval with retained derivatives,1.0,0.7858,3,DenseRAG
ADCU,0.0,0.0,0.0,0.0,filtered LoRA retraining,0.0,0.6274,3,LoRA-SFT
