bootstrap_ci95_high,bootstrap_ci95_low,failure_detection_rate,n,probe_family,track
0.5556,0.1111,0.3333,18,direct_only,DenseRAG
0.8889,0.4444,0.6667,18,paraphrase_only,DenseRAG
1.0,1.0,1.0,18,retrieval_only,DenseRAG
0.0,0.0,0.0,18,extraction_only,DenseRAG
1.0,1.0,1.0,18,full_adcu,DenseRAG
1.0,1.0,1.0,6,direct_only,LoRA-SFT
1.0,1.0,1.0,6,paraphrase_only,LoRA-SFT
0.0,0.0,0.0,6,retrieval_only,LoRA-SFT
0.0,0.0,0.0,6,extraction_only,LoRA-SFT
1.0,1.0,1.0,6,full_adcu,LoRA-SFT
1.0,1.0,1.0,1,direct_only,PEFT-LoRA
1.0,1.0,1.0,1,paraphrase_only,PEFT-LoRA
0.0,0.0,0.0,1,retrieval_only,PEFT-LoRA
0.0,0.0,0.0,1,extraction_only,PEFT-LoRA
1.0,1.0,1.0,1,full_adcu,PEFT-LoRA
0.1667,0.0,0.0556,18,direct_only,Pretrained-LoRA
0.1667,0.0,0.0556,18,paraphrase_only,Pretrained-LoRA
0.0,0.0,0.0,18,retrieval_only,Pretrained-LoRA
0.0,0.0,0.0,18,extraction_only,Pretrained-LoRA
1.0,1.0,1.0,18,full_adcu,Pretrained-LoRA
0.0,0.0,0.0,2,direct_only,Qwen-TOFU-LoRA
1.0,1.0,1.0,2,paraphrase_only,Qwen-TOFU-LoRA
0.0,0.0,0.0,2,retrieval_only,Qwen-TOFU-LoRA
0.0,0.0,0.0,2,extraction_only,Qwen-TOFU-LoRA
1.0,1.0,1.0,2,full_adcu,Qwen-TOFU-LoRA
