active_forget_targets,active_target_margins,aggregate_risk_ucb,audit_calls,audit_method,counterfactual_dependence,decision,deletion_method,detected_failure,detection_per_1000_calls,direct_leakage,embedding_model,extraction_risk,ground_truth_failure,hf_init,hf_model,mean_forget_margin,mean_retain_margin,paraphrase_leakage,peft_status,pretrained_lora_status,retain_completion_accuracy,retain_perplexity,retain_utility,retrieval_dependence,retrieval_mode,seed,tofu_answer_preferred_rate,tofu_eval_mode,tofu_eval_n,tofu_mean_answer_loss,tofu_mean_answer_margin,tofu_split,tofu_split_size,top3_deleted_derivative_hit_rate,top5_deleted_derivative_hit_rate,track,watermark_hit
,,1.0,32,ExactMatch,0.75,fail,full adapter no unlearning,True,31.25,0.6012,,0.0208,True,,,,,0.6737,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.5
,,0.951,32,CanaryOnly,0.75,fail,full adapter no unlearning,True,31.25,0.6012,,0.0208,True,,,,,0.6737,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.5
,,0.4327,32,RetrieverHit,0.75,pass,full adapter no unlearning,False,0.0,0.6012,,0.0208,True,,,,,0.6737,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.5
,,0.9262,32,UniformProbes,0.75,fail,full adapter no unlearning,True,31.25,0.6012,,0.0208,True,,,,,0.6737,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.5
,,0.9262,32,ADCU-NoValuation,0.75,fail,full adapter no unlearning,True,31.25,0.6012,,0.0208,True,,,,,0.6737,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.5
,,0.9262,32,ADCU,0.75,fail,full adapter no unlearning,True,31.25,0.6012,,0.0208,True,,,,,0.6737,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.5
,,0.6469,32,ExactMatch,0.375,fail,filtered LoRA retraining,False,0.0,0.3036,,0.0208,False,,,,,0.4147,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.25
,,0.6215,32,CanaryOnly,0.375,fail,filtered LoRA retraining,True,31.25,0.3036,,0.0208,False,,,,,0.4147,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.25
,,0.4327,32,RetrieverHit,0.375,pass,filtered LoRA retraining,False,0.0,0.3036,,0.0208,False,,,,,0.4147,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.25
,,0.6325,32,UniformProbes,0.375,fail,filtered LoRA retraining,True,31.25,0.3036,,0.0208,False,,,,,0.4147,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.25
,,0.6325,32,ADCU-NoValuation,0.375,fail,filtered LoRA retraining,True,31.25,0.3036,,0.0208,False,,,,,0.4147,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.25
,,0.6325,32,ADCU,0.375,fail,filtered LoRA retraining,True,31.25,0.3036,,0.0208,False,,,,,0.4147,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.25
,,0.9765,32,ExactMatch,0.7292,fail,gradient-ascent LoRA unlearning,True,31.25,0.5804,,0.0208,True,,,,,0.6615,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.4792
,,0.9073,32,CanaryOnly,0.7292,fail,gradient-ascent LoRA unlearning,True,31.25,0.5804,,0.0208,True,,,,,0.6615,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.4792
,,0.4327,32,RetrieverHit,0.7292,pass,gradient-ascent LoRA unlearning,False,0.0,0.5804,,0.0208,True,,,,,0.6615,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.4792
,,0.9015,32,UniformProbes,0.7292,fail,gradient-ascent LoRA unlearning,True,31.25,0.5804,,0.0208,True,,,,,0.6615,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.4792
,,0.9015,32,ADCU-NoValuation,0.7292,fail,gradient-ascent LoRA unlearning,True,31.25,0.5804,,0.0208,True,,,,,0.6615,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.4792
,,0.9015,32,ADCU,0.7292,fail,gradient-ascent LoRA unlearning,True,31.25,0.5804,,0.0208,True,,,,,0.6615,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.4792
,,0.6469,32,ExactMatch,0.3542,fail,negative SFT unlearning,False,0.0,0.2827,,0.0,False,,,,,0.4015,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.2292
,,0.6215,32,CanaryOnly,0.3542,fail,negative SFT unlearning,True,31.25,0.2827,,0.0,False,,,,,0.4015,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.2292
,,0.4327,32,RetrieverHit,0.3542,pass,negative SFT unlearning,False,0.0,0.2827,,0.0,False,,,,,0.4015,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.2292
,,0.6325,32,UniformProbes,0.3542,fail,negative SFT unlearning,True,31.25,0.2827,,0.0,False,,,,,0.4015,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.2292
,,0.6325,32,ADCU-NoValuation,0.3542,fail,negative SFT unlearning,True,31.25,0.2827,,0.0,False,,,,,0.4015,,,,,0.96,0.0,,11,,,,,,,,,,LoRA-SFT,0.2292
