active_forget_targets,active_target_margins,aggregate_risk_ucb,audit_calls,audit_method,counterfactual_dependence,decision,deletion_method,detected_failure,detection_per_1000_calls,direct_leakage,extraction_risk,ground_truth_failure,hf_model,mean_forget_margin,mean_retain_margin,paraphrase_leakage,pretrained_lora_status,retain_completion_accuracy,retain_perplexity,retain_utility,retrieval_dependence,seed,track,watermark_hit
1,user_41_0:-0.2617;user_41_1:-0.3827,1.0,24,MembershipInference,1.0,fail,pretrained LoRA full SFT,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.2617,-0.3827,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,103.4538,0.0,0.0,41,Pretrained-LoRA,0.75
1,user_41_0:-0.2617;user_41_1:-0.3827,0.6625,24,ExtractionAudit,1.0,fail,pretrained LoRA full SFT,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.2617,-0.3827,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,103.4538,0.0,0.0,41,Pretrained-LoRA,0.75
1,user_41_0:-0.2617;user_41_1:-0.3827,1.0,24,InfluenceProxy,1.0,fail,pretrained LoRA full SFT,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.2617,-0.3827,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,103.4538,0.0,0.0,41,Pretrained-LoRA,0.75
1,user_41_0:-0.2617;user_41_1:-0.3827,0.9286,24,ADCU,1.0,fail,pretrained LoRA full SFT,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.2617,-0.3827,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,103.4538,0.0,0.0,41,Pretrained-LoRA,0.75
1,user_41_0:-0.2771;user_41_1:-0.3452,1.0,24,MembershipInference,1.0,fail,pretrained LoRA filtered retraining,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.2771,-0.3452,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,99.6262,0.0,0.0,41,Pretrained-LoRA,0.75
1,user_41_0:-0.2771;user_41_1:-0.3452,0.6625,24,ExtractionAudit,1.0,fail,pretrained LoRA filtered retraining,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.2771,-0.3452,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,99.6262,0.0,0.0,41,Pretrained-LoRA,0.75
1,user_41_0:-0.2771;user_41_1:-0.3452,1.0,24,InfluenceProxy,1.0,fail,pretrained LoRA filtered retraining,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.2771,-0.3452,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,99.6262,0.0,0.0,41,Pretrained-LoRA,0.75
1,user_41_0:-0.2771;user_41_1:-0.3452,0.9286,24,ADCU,1.0,fail,pretrained LoRA filtered retraining,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.2771,-0.3452,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,99.6262,0.0,0.0,41,Pretrained-LoRA,0.75
1,user_41_0:-0.4479;user_41_1:-0.5422,0.7547,24,MembershipInference,0.5,fail,pretrained LoRA gradient-ascent unlearning,True,41.67,0.4881,0.0417,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.4479,-0.5422,0.4618,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,118.317,0.0,0.0,41,Pretrained-LoRA,0.375
1,user_41_0:-0.4479;user_41_1:-0.5422,0.5428,24,ExtractionAudit,0.5,fail,pretrained LoRA gradient-ascent unlearning,True,41.67,0.4881,0.0417,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.4479,-0.5422,0.4618,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,118.317,0.0,0.0,41,Pretrained-LoRA,0.375
1,user_41_0:-0.4479;user_41_1:-0.5422,0.7447,24,InfluenceProxy,0.5,fail,pretrained LoRA gradient-ascent unlearning,True,41.67,0.4881,0.0417,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.4479,-0.5422,0.4618,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,118.317,0.0,0.0,41,Pretrained-LoRA,0.375
1,user_41_0:-0.4479;user_41_1:-0.5422,0.6996,24,ADCU,0.5,fail,pretrained LoRA gradient-ascent unlearning,True,41.67,0.4881,0.0417,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.4479,-0.5422,0.4618,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,118.317,0.0,0.0,41,Pretrained-LoRA,0.375
0,user_41_0:-0.8240;user_41_1:-0.9519,0.4474,24,MembershipInference,0.0,escalate,pretrained LoRA negative SFT unlearning,True,41.67,0.1548,0.0,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.824,-0.9519,0.1181,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,98.1669,0.0,0.0,41,Pretrained-LoRA,0.0
0,user_41_0:-0.8240;user_41_1:-0.9519,0.3964,24,ExtractionAudit,0.0,escalate,pretrained LoRA negative SFT unlearning,True,41.67,0.1548,0.0,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.824,-0.9519,0.1181,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,98.1669,0.0,0.0,41,Pretrained-LoRA,0.0
0,user_41_0:-0.8240;user_41_1:-0.9519,0.4221,24,InfluenceProxy,0.0,escalate,pretrained LoRA negative SFT unlearning,True,41.67,0.1548,0.0,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.824,-0.9519,0.1181,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,98.1669,0.0,0.0,41,Pretrained-LoRA,0.0
0,user_41_0:-0.8240;user_41_1:-0.9519,0.4161,24,ADCU,0.0,escalate,pretrained LoRA negative SFT unlearning,True,41.67,0.1548,0.0,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.824,-0.9519,0.1181,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,98.1669,0.0,0.0,41,Pretrained-LoRA,0.0
0,user_41_0:-0.5381;user_41_1:-0.6475,0.4474,24,MembershipInference,0.0,escalate,pretrained LoRA NPO unlearning,True,41.67,0.1548,0.0,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.5381,-0.6475,0.1181,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,101.1483,0.0,0.0,41,Pretrained-LoRA,0.0
0,user_41_0:-0.5381;user_41_1:-0.6475,0.3964,24,ExtractionAudit,0.0,escalate,pretrained LoRA NPO unlearning,True,41.67,0.1548,0.0,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.5381,-0.6475,0.1181,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,101.1483,0.0,0.0,41,Pretrained-LoRA,0.0
0,user_41_0:-0.5381;user_41_1:-0.6475,0.4221,24,InfluenceProxy,0.0,escalate,pretrained LoRA NPO unlearning,True,41.67,0.1548,0.0,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.5381,-0.6475,0.1181,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,101.1483,0.0,0.0,41,Pretrained-LoRA,0.0
0,user_41_0:-0.5381;user_41_1:-0.6475,0.4161,24,ADCU,0.0,escalate,pretrained LoRA NPO unlearning,True,41.67,0.1548,0.0,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.5381,-0.6475,0.1181,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,101.1483,0.0,0.0,41,Pretrained-LoRA,0.0
0,user_41_0:-0.5372;user_41_1:-0.6467,0.4474,24,MembershipInference,0.0,escalate,pretrained LoRA SimNPO unlearning,True,41.67,0.1548,0.0,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.5372,-0.6467,0.1181,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,101.1889,0.0,0.0,41,Pretrained-LoRA,0.0
0,user_41_0:-0.5372;user_41_1:-0.6467,0.3964,24,ExtractionAudit,0.0,escalate,pretrained LoRA SimNPO unlearning,True,41.67,0.1548,0.0,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.5372,-0.6467,0.1181,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,101.1889,0.0,0.0,41,Pretrained-LoRA,0.0
0,user_41_0:-0.5372;user_41_1:-0.6467,0.4221,24,InfluenceProxy,0.0,escalate,pretrained LoRA SimNPO unlearning,True,41.67,0.1548,0.0,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.5372,-0.6467,0.1181,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,101.1889,0.0,0.0,41,Pretrained-LoRA,0.0
0,user_41_0:-0.5372;user_41_1:-0.6467,0.4161,24,ADCU,0.0,escalate,pretrained LoRA SimNPO unlearning,True,41.67,0.1548,0.0,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.5372,-0.6467,0.1181,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,101.1889,0.0,0.0,41,Pretrained-LoRA,0.0
1,user_42_0:-0.1347;user_42_1:0.2730,1.0,24,MembershipInference,1.0,fail,pretrained LoRA full SFT,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.1347,0.273,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.8157,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.1347;user_42_1:0.2730,0.6625,24,ExtractionAudit,1.0,fail,pretrained LoRA full SFT,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.1347,0.273,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.8157,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.1347;user_42_1:0.2730,1.0,24,InfluenceProxy,1.0,fail,pretrained LoRA full SFT,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.1347,0.273,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.8157,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.1347;user_42_1:0.2730,0.9286,24,ADCU,1.0,fail,pretrained LoRA full SFT,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.1347,0.273,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.8157,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.1834;user_42_1:0.2830,1.0,24,MembershipInference,1.0,fail,pretrained LoRA filtered retraining,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.1834,0.283,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.1352,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.1834;user_42_1:0.2830,0.6625,24,ExtractionAudit,1.0,fail,pretrained LoRA filtered retraining,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.1834,0.283,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.1352,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.1834;user_42_1:0.2830,1.0,24,InfluenceProxy,1.0,fail,pretrained LoRA filtered retraining,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.1834,0.283,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.1352,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.1834;user_42_1:0.2830,0.9286,24,ADCU,1.0,fail,pretrained LoRA filtered retraining,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.1834,0.283,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.1352,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.3294;user_42_1:0.1583,1.0,24,MembershipInference,1.0,fail,pretrained LoRA gradient-ascent unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3294,0.1583,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,60.2521,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.3294;user_42_1:0.1583,0.6625,24,ExtractionAudit,1.0,fail,pretrained LoRA gradient-ascent unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3294,0.1583,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,60.2521,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.3294;user_42_1:0.1583,1.0,24,InfluenceProxy,1.0,fail,pretrained LoRA gradient-ascent unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3294,0.1583,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,60.2521,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.3294;user_42_1:0.1583,0.9286,24,ADCU,1.0,fail,pretrained LoRA gradient-ascent unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3294,0.1583,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,60.2521,1.0,0.0,42,Pretrained-LoRA,0.75
0,user_42_0:-0.6498;user_42_1:-0.2966,0.6927,24,MembershipInference,0.5,fail,pretrained LoRA negative SFT unlearning,True,41.67,0.5119,0.0417,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.6498,-0.2966,0.4792,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,51.8622,0.0,0.0,42,Pretrained-LoRA,0.375
0,user_42_0:-0.6498;user_42_1:-0.2966,0.5161,24,ExtractionAudit,0.5,fail,pretrained LoRA negative SFT unlearning,True,41.67,0.5119,0.0417,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.6498,-0.2966,0.4792,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,51.8622,0.0,0.0,42,Pretrained-LoRA,0.375
0,user_42_0:-0.6498;user_42_1:-0.2966,0.6774,24,InfluenceProxy,0.5,fail,pretrained LoRA negative SFT unlearning,True,41.67,0.5119,0.0417,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.6498,-0.2966,0.4792,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,51.8622,0.0,0.0,42,Pretrained-LoRA,0.375
0,user_42_0:-0.6498;user_42_1:-0.2966,0.6451,24,ADCU,0.5,fail,pretrained LoRA negative SFT unlearning,True,41.67,0.5119,0.0417,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.6498,-0.2966,0.4792,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,51.8622,0.0,0.0,42,Pretrained-LoRA,0.375
1,user_42_0:-0.3894;user_42_1:0.0057,1.0,24,MembershipInference,1.0,fail,pretrained LoRA NPO unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3894,0.0057,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.637,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.3894;user_42_1:0.0057,0.6625,24,ExtractionAudit,1.0,fail,pretrained LoRA NPO unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3894,0.0057,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.637,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.3894;user_42_1:0.0057,1.0,24,InfluenceProxy,1.0,fail,pretrained LoRA NPO unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3894,0.0057,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.637,1.0,0.0,42,Pretrained-LoRA,0.75
