track,deletion_method,direct_leakage,paraphrase_leakage,retrieval_dependence,extraction_risk,retain_utility,risk_ucb
FineTune,adapter inventory only,0.3043,0.3043,0.0,0.0435,0.97,0.5016
FineTune,filtered adapter retraining,0.0,0.0,0.0,0.0,0.99,0.4299
FineTune,gradient-ascent unlearning,0.2174,0.3043,0.0,0.0435,0.97,0.5743
FineTune,over-unlearned adapter,0.0,0.0,0.0,0.0,0.4,0.4299
Hybrid,RAG-only deletion,0.3739,0.6957,0.0,0.087,0.96,0.8533
Hybrid,adapter-only unlearning,0.6957,0.6174,0.6957,0.087,0.96,0.9283
Hybrid,full provenance purge,0.0,0.0,0.0,0.0,0.98,0.4299
Hybrid,synthetic derivative retained,0.3739,0.6957,0.3913,0.087,0.96,0.9283
RAG,cache-not-purged deletion,0.3913,0.313,0.3913,0.0435,0.97,0.7839
RAG,index-only deletion,0.3913,0.313,0.3913,0.0435,0.98,0.7839
RAG,provenance-guided deletion,0.0,0.0,0.0,0.0,1.0,0.4299
RAG,shadow-copy deletion,0.3043,0.3043,0.3043,0.0435,0.98,0.5743
